127.0.0.1 - - [30/Sep/2019:12:33:36 +0200] "GET / HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:08:12 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:08:12 +0200] "GET /Oblig2/liste HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:08:15 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:08:15 +0200] "GET /Oblig2/liste HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:11:28 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:11:28 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:11:32 +0200] "GET /Oblig2/login HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:11:44 +0200] "GET /Oblig2/login HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:11:45 +0200] "GET /Oblig2/login HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:11:46 +0200] "GET /Oblig2/login HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:11:47 +0200] "GET /Oblig2/login HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:12:13 +0200] "GET /Oblig2/login HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:12:16 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:12:16 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:13:38 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:13:39 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:15:07 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:15:07 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:15:15 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:15:15 +0200] "GET /Oblig2/liste HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:15:17 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:15:17 +0200] "GET /Oblig2/liste HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:15:19 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:15:19 +0200] "GET /Oblig2/liste HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:16:30 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:16:30 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:16:34 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:16:34 +0200] "GET /Oblig2/liste HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:17:17 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:17:17 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:17:19 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:17:19 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:17:23 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:17:23 +0200] "GET /Oblig2/liste HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:17:51 +0200] "GET /Oblig2/login HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:18:33 +0200] "GET /Oblig2/login HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:18:35 +0200] "GET /Oblig2/login HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:18:51 +0200] "GET /Oblig2/login HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:19:11 +0200] "GET /Oblig2/login HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:19:13 +0200] "GET /Oblig2/login HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:19:14 +0200] "GET /Oblig2/login HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:19:14 +0200] "GET /Oblig2/login HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:19:14 +0200] "GET /Oblig2/login HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:19:15 +0200] "GET /Oblig2/login HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:20:33 +0200] "GET /Oblig2/login HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:22 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:22 +0200] "GET /Oblig2/liste HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:26 +0200] "GET /Oblig2/liste HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:27 +0200] "GET /Oblig2/liste HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:27 +0200] "GET /Oblig2/liste HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:28 +0200] "GET /Oblig2/liste HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:40 +0200] "GET /Oblig2/login HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:44 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:44 +0200] "GET /Oblig2/liste HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:49 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:49 +0200] "GET /Oblig2/liste HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:51 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:51 +0200] "GET /Oblig2/liste HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:59 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:21:59 +0200] "GET /Oblig2/liste HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:22:02 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:22:02 +0200] "GET /Oblig2/liste HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:23:33 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:23:33 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:23:36 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:23:36 +0200] "GET /Oblig2/liste HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:23:47 +0200] "GET /Oblig2/login HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:23:51 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:23:51 +0200] "GET /Oblig2/liste HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:23:55 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:23:55 +0200] "GET /Oblig2/liste HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:23:56 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:23:56 +0200] "GET /Oblig2/liste HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:29:45 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:29:45 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:26:08 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:26:08 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:26:11 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:26:11 +0200] "GET /Oblig2/liste HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:26:13 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:26:13 +0200] "GET /Oblig2/liste HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:26:15 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:26:15 +0200] "GET /Oblig2/liste HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:26:18 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:26:18 +0200] "GET /Oblig2/liste HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:35:59 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:35:59 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:36:01 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:36:12 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:36:13 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:36:23 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:36:24 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:36:30 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:36:32 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:36:58 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:37:00 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:37:01 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:37:04 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:37:06 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [30/Sep/2019:15:37:06 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:31 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:36 +0200] "GET /Oblig2/login HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:41 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:41 +0200] "GET /Oblig2/liste HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:44 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:44 +0200] "GET /Oblig2/liste HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:48 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:48 +0200] "GET /Oblig2/liste HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:50 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:50 +0200] "GET /Oblig2/liste HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:52 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:12:52 +0200] "GET /Oblig2/liste HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:13:11 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:13:11 +0200] "GET /Oblig2/liste HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:15:17 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:15:17 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:15:21 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:15:21 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:15:27 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:15:27 +0200] "GET /Oblig2/liste HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:15:36 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:15:36 +0200] "GET /Oblig2/liste HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:15:37 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:15:37 +0200] "GET /Oblig2/liste HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:16:02 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:16:02 +0200] "GET /Oblig2/liste HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:17:40 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:17:40 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:17:42 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:17:42 +0200] "GET /Oblig2/liste HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:17:45 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:17:45 +0200] "GET /Oblig2/liste HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:17:47 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:17:47 +0200] "GET /Oblig2/liste HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:17:48 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:17:48 +0200] "GET /Oblig2/liste HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:33 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:33 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:37 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:37 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:40 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:40 +0200] "GET /Oblig2/liste HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:41 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:41 +0200] "GET /Oblig2/liste HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:43 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:43 +0200] "GET /Oblig2/liste HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:44 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:44 +0200] "GET /Oblig2/liste HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:45 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:45 +0200] "GET /Oblig2/liste HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:47 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:18:47 +0200] "GET /Oblig2/liste HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:39:05 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:39:05 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:48:52 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:48:57 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:48:57 +0200] "GET /Oblig2/login?feilkode=1 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:48:59 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:48:59 +0200] "GET /Oblig2/liste HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:49:34 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:49:34 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:51:30 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:51:31 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:51:32 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:51:34 +0200] "GET /Oblig2/login HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:51:49 +0200] "GET /Oblig2/login HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:51:51 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:24 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:25 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:26 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:27 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:27 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:28 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:28 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:28 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:29 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:30 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:30 +0200] "GET /Oblig2/login HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:52:31 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:52 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:53 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:53 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:53 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:53 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:54 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:54 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:54 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:54 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:55 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:55 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:55 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:56 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:56 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:56 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:57 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:57 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Sep/2019:16:53:57 +0200] "GET /Oblig2/login HTTP/1.1" 200 513
